oblast,raion,hromada,level,started_at,finished_at
Vinnytska oblast,,,oblast,2022-03-21 08:32:14+00:00,2022-03-21 09:40:04+00:00
Mykolaivska oblast,Mykolaivskyi raion,Pervomaiska terytorialna hromada,hromada,2022-03-21 08:38:18+00:00,2022-03-21 09:45:14+00:00
Lvivska oblast,,,oblast,2022-03-21 08:39:51+00:00,2022-03-21 09:00:15+00:00
Kyiv City,,,oblast,2022-03-21 08:41:31+00:00,2022-03-21 09:42:47+00:00
Cherkaska oblast,,,oblast,2022-03-21 08:43:10+00:00,2022-03-21 09:44:08+00:00
Kyivska oblast,,,oblast,2022-03-21 08:47:30+00:00,2022-03-21 09:48:42+00:00
Poltavska oblast,Lubenskyi raion,m. Lubny ta Lubenska terytorialna hromada,hromada,2022-03-21 08:48:14+00:00,2022-03-21 09:46:13+00:00
Rivnenska oblast,,,oblast,2022-03-21 09:14:03+00:00,2022-03-21 09:41:59+00:00
Khmelnytska oblast,,,oblast,2022-03-21 09:14:04+00:00,2022-03-21 09:42:22+00:00
Volynska oblast,,,oblast,2022-03-21 09:14:13+00:00,2022-03-21 09:42:53+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-21 09:15:55+00:00,2022-03-21 09:44:45+00:00
Lvivska oblast,,,oblast,2022-03-21 09:16:07+00:00,2022-03-21 09:44:07+00:00
Ternopilska oblast,,,oblast,2022-03-21 09:18:07+00:00,2022-03-21 09:45:17+00:00
Kharkivska oblast,,,oblast,2022-03-21 10:20:06+00:00,2022-03-21 10:29:49+00:00
Kharkivska oblast,Kupianskyi raion,,raion,2022-03-21 10:22:23+00:00,2022-03-21 10:30:04+00:00
Kharkivska oblast,Chuhuivskyi raion,,raion,2022-03-21 10:22:36+00:00,2022-03-21 10:29:57+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-21 10:40:57+00:00,2022-03-21 11:14:37+00:00
Odeska oblast,,,oblast,2022-03-21 10:41:18+00:00,2022-03-21 11:03:47+00:00
Vinnytska oblast,,,oblast,2022-03-21 10:42:55+00:00,2022-03-21 11:00:42+00:00
Mykolaivska oblast,,,oblast,2022-03-21 10:42:56+00:00,2022-03-21 11:46:01+00:00
Kyiv City,,,oblast,2022-03-21 10:44:15+00:00,2022-03-21 12:18:28+00:00
Dnipropetrovska oblast,,,oblast,2022-03-21 10:46:37+00:00,2022-03-21 11:01:15+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-21 10:47:20+00:00,2022-03-21 11:01:51+00:00
Cherkaska oblast,,,oblast,2022-03-21 10:47:46+00:00,2022-03-21 10:54:06+00:00
Kirovohradska oblast,Kropyvnytskyi raion,,raion,2022-03-21 10:48:24+00:00,2022-03-21 12:20:09+00:00
Zaporizka oblast,,,oblast,2022-03-21 10:49:53+00:00,2022-03-21 11:08:02+00:00
Kyivska oblast,,,oblast,2022-03-21 10:52:18+00:00,2022-03-21 12:23:37+00:00
Cherkaska oblast,Umanskyi raion,Umanska terytorialna hromada,hromada,2022-03-21 10:54:12+00:00,2022-03-21 11:02:59+00:00
Kharkivska oblast,,,oblast,2022-03-21 11:15:46+00:00,2022-03-21 11:34:25+00:00
Zhytomyrska oblast,,,oblast,2022-03-21 11:21:19+00:00,2022-03-21 12:18:19+00:00
Vinnytska oblast,,,oblast,2022-03-21 11:52:20+00:00,2022-03-21 12:19:11+00:00
Kirovohradska oblast,Kropyvnytskyi raion,,raion,2022-03-21 13:51:29+00:00,2022-03-21 17:02:53+00:00
Kyiv City,,,oblast,2022-03-21 14:13:16+00:00,2022-03-21 16:56:06+00:00
Vinnytska oblast,,,oblast,2022-03-21 14:13:59+00:00,2022-03-21 16:56:20+00:00
Zhytomyrska oblast,,,oblast,2022-03-21 14:14:01+00:00,2022-03-21 16:56:38+00:00
Poltavska oblast,,,oblast,2022-03-21 14:14:13+00:00,2022-03-21 16:56:33+00:00
Khmelnytska oblast,,,oblast,2022-03-21 14:14:16+00:00,2022-03-21 16:56:35+00:00
Dnipropetrovska oblast,,,oblast,2022-03-21 14:14:30+00:00,2022-03-21 16:58:00+00:00
Volynska oblast,,,oblast,2022-03-21 14:14:39+00:00,2022-03-21 17:00:31+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-21 14:14:56+00:00,2022-03-21 16:58:47+00:00
Rivnenska oblast,,,oblast,2022-03-21 14:15:12+00:00,2022-03-21 16:57:48+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-21 14:15:14+00:00,2022-03-21 17:04:05+00:00
Cherkaska oblast,,,oblast,2022-03-21 14:15:27+00:00,2022-03-21 16:56:54+00:00
Chernivetska oblast,,,oblast,2022-03-21 14:15:29+00:00,2022-03-21 16:58:35+00:00
Kirovohradska oblast,,,oblast,2022-03-21 14:15:38+00:00,2022-03-21 16:57:00+00:00
Kharkivska oblast,,,oblast,2022-03-21 14:15:53+00:00,2022-03-21 16:59:37+00:00
Lvivska oblast,,,oblast,2022-03-21 14:16:24+00:00,2022-03-21 16:59:51+00:00
Odeska oblast,,,oblast,2022-03-21 14:16:26+00:00,2022-03-21 16:58:53+00:00
Zakarpatska oblast,,,oblast,2022-03-21 14:17:40+00:00,2022-03-21 16:59:23+00:00
Mykolaivska oblast,,,oblast,2022-03-21 14:18:27+00:00,2022-03-21 17:01:14+00:00
Zaporizka oblast,,,oblast,2022-03-21 14:20:04+00:00,2022-03-21 17:00:23+00:00
Sumska oblast,,,oblast,2022-03-21 14:20:08+00:00,2022-03-21 17:00:07+00:00
Ternopilska oblast,,,oblast,2022-03-21 14:20:22+00:00,2022-03-21 17:03:44+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-21 14:21:41+00:00,2022-03-21 15:52:20+00:00
Kyivska oblast,,,oblast,2022-03-21 14:22:43+00:00,2022-03-21 17:02:16+00:00
Donetska oblast,Kramatorskyi raion,m. Kramatorsk ta Kramatorska terytorialna hromada,hromada,2022-03-21 16:04:14+00:00,2022-03-21 16:39:25+00:00
Donetska oblast,Kramatorskyi raion,m. Kramatorsk ta Kramatorska terytorialna hromada,hromada,2022-03-21 17:00:56+00:00,2022-03-21 17:36:13+00:00
Rivnenska oblast,,,oblast,2022-03-21 17:38:05+00:00,2022-03-21 17:57:49+00:00
Volynska oblast,,,oblast,2022-03-21 17:38:27+00:00,2022-03-21 17:58:30+00:00
Ternopilska oblast,,,oblast,2022-03-21 17:40:54+00:00,2022-03-21 18:01:17+00:00
Khmelnytska oblast,,,oblast,2022-03-21 17:42:15+00:00,2022-03-21 19:03:33+00:00
Zhytomyrska oblast,,,oblast,2022-03-21 17:45:25+00:00,2022-03-21 19:03:21+00:00
Kyiv City,,,oblast,2022-03-21 17:47:44+00:00,2022-03-21 19:03:39+00:00
Vinnytska oblast,,,oblast,2022-03-21 17:49:27+00:00,2022-03-21 17:59:52+00:00
Donetska oblast,Mariupolskyi raion,,raion,2022-03-21 18:06:13+00:00,2022-03-21 18:07:51+00:00
Donetska oblast,Mariupolskyi raion,m. Mariupol ta Mariupolska terytorialna hromada,hromada,2022-03-21 18:07:41+00:00,2022-03-21 18:12:21+00:00
Kyivska oblast,Bilotserkivskyi raion,m. Bila Tserkva ta Bilotserkivska terytorialna hromada,hromada,2022-03-21 18:49:25+00:00,2022-03-21 19:06:06+00:00
Poltavska oblast,Myrhorodskyi raion,Bilotserkivska terytorialna hromada,hromada,2022-03-21 18:49:25+00:00,2022-03-21 19:06:06+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-21 18:49:40+00:00,2022-03-21 19:06:03+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-21 18:49:40+00:00,2022-03-21 19:06:03+00:00
Kharkivska oblast,,,oblast,2022-03-21 19:03:11+00:00,2022-03-21 19:54:55+00:00
Kirovohradska oblast,Kropyvnytskyi raion,,raion,2022-03-21 19:52:33+00:00,2022-03-21 20:46:00+00:00
Kyiv City,,,oblast,2022-03-21 21:30:09+00:00,2022-03-21 22:17:18+00:00
Kyivska oblast,,,oblast,2022-03-21 21:36:14+00:00,2022-03-21 22:22:28+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-21 21:36:34+00:00,2022-03-21 22:08:56+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Slovianska terytorialna hromada,hromada,2022-03-21 21:37:30+00:00,2022-03-21 22:01:01+00:00
Donetska oblast,Kramatorskyi raion,m. Sloviansk ta Slovianska terytorialna hromada,hromada,2022-03-21 21:37:30+00:00,2022-03-21 22:01:01+00:00
Donetska oblast,Kramatorskyi raion,Druzhkivska terytorialna hromada,hromada,2022-03-21 21:43:34+00:00,2022-03-21 22:01:18+00:00
Odeska oblast,,,oblast,2022-03-21 22:24:05+00:00,2022-03-21 22:41:56+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 00:28:32+00:00,2022-03-22 00:44:41+00:00
Donetska oblast,Bakhmutskyi raion,Bakhmutska terytorialna hromada,hromada,2022-03-22 00:32:45+00:00,2022-03-22 00:44:30+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Slovianska terytorialna hromada,hromada,2022-03-22 00:33:00+00:00,2022-03-22 00:33:44+00:00
Donetska oblast,Kramatorskyi raion,m. Sloviansk ta Slovianska terytorialna hromada,hromada,2022-03-22 00:33:00+00:00,2022-03-22 00:33:44+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 01:06:59+00:00,2022-03-22 01:22:13+00:00
Kyiv City,,,oblast,2022-03-22 02:33:51+00:00,2022-03-22 03:16:08+00:00
Kyivska oblast,,,oblast,2022-03-22 02:41:47+00:00,2022-03-22 03:20:41+00:00
Vinnytska oblast,,,oblast,2022-03-22 02:50:01+00:00,2022-03-22 03:12:33+00:00
Kharkivska oblast,Iziumskyi raion,,raion,2022-03-22 03:23:56+00:00,2022-03-22 04:21:40+00:00
Kharkivska oblast,,,oblast,2022-03-22 03:29:22+00:00,2022-03-22 04:21:32+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 03:55:29+00:00,2022-03-22 04:11:44+00:00
Kyiv City,,,oblast,2022-03-22 04:13:33+00:00,2022-03-22 06:16:51+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-22 04:14:16+00:00,2022-03-22 06:17:48+00:00
Zhytomyrska oblast,,,oblast,2022-03-22 04:15:05+00:00,2022-03-22 06:17:24+00:00
Kyivska oblast,,,oblast,2022-03-22 04:21:40+00:00,2022-03-22 06:21:01+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 04:23:42+00:00,2022-03-22 04:57:36+00:00
Donetska oblast,Bakhmutskyi raion,Toretska terytorialna hromada,hromada,2022-03-22 04:28:26+00:00,2022-03-22 04:34:18+00:00
Vinnytska oblast,,,oblast,2022-03-22 04:48:01+00:00,2022-03-22 06:17:09+00:00
Dnipropetrovska oblast,,,oblast,2022-03-22 04:51:15+00:00,2022-03-22 06:23:43+00:00
Poltavska oblast,,,oblast,2022-03-22 04:51:30+00:00,2022-03-22 06:17:57+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-22 04:51:36+00:00,2022-03-22 06:24:09+00:00
Khmelnytska oblast,,,oblast,2022-03-22 04:52:01+00:00,2022-03-22 06:17:54+00:00
Cherkaska oblast,,,oblast,2022-03-22 04:52:40+00:00,2022-03-22 06:18:07+00:00
Kirovohradska oblast,,,oblast,2022-03-22 04:53:00+00:00,2022-03-22 06:18:47+00:00
Zaporizka oblast,,,oblast,2022-03-22 04:53:12+00:00,2022-03-22 06:18:48+00:00
Mykolaivska oblast,,,oblast,2022-03-22 04:53:17+00:00,2022-03-22 06:21:29+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-22 04:53:25+00:00,2022-03-22 06:19:40+00:00
Volynska oblast,,,oblast,2022-03-22 04:53:31+00:00,2022-03-22 06:23:17+00:00
Chernivetska oblast,,,oblast,2022-03-22 04:53:47+00:00,2022-03-22 06:19:52+00:00
Lvivska oblast,,,oblast,2022-03-22 04:53:47+00:00,2022-03-22 06:19:55+00:00
Kharkivska oblast,,,oblast,2022-03-22 04:53:54+00:00,2022-03-22 06:21:23+00:00
Rivnenska oblast,,,oblast,2022-03-22 04:54:08+00:00,2022-03-22 06:22:29+00:00
Odeska oblast,,,oblast,2022-03-22 04:54:11+00:00,2022-03-22 06:22:46+00:00
Zakarpatska oblast,,,oblast,2022-03-22 04:55:07+00:00,2022-03-22 06:19:47+00:00
Ternopilska oblast,,,oblast,2022-03-22 04:57:31+00:00,2022-03-22 06:25:04+00:00
Sumska oblast,,,oblast,2022-03-22 04:58:55+00:00,2022-03-22 06:21:34+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 04:59:43+00:00,2022-03-22 06:25:22+00:00
Chernihivska oblast,,,oblast,2022-03-22 05:38:50+00:00,2022-03-22 07:12:00+00:00
Kyiv City,,,oblast,2022-03-22 06:33:20+00:00,2022-03-22 07:07:52+00:00
Mykolaivska oblast,Mykolaivskyi raion,Pervomaiska terytorialna hromada,hromada,2022-03-22 06:35:57+00:00,2022-03-22 07:14:42+00:00
Cherkaska oblast,Umanskyi raion,Umanska terytorialna hromada,hromada,2022-03-22 06:36:10+00:00,2022-03-22 07:08:36+00:00
Mykolaivska oblast,Voznesenskyi raion,,raion,2022-03-22 06:36:51+00:00,2022-03-22 07:14:37+00:00
Poltavska oblast,Lubenskyi raion,m. Lubny ta Lubenska terytorialna hromada,hromada,2022-03-22 06:37:05+00:00,2022-03-22 07:10:18+00:00
Kirovohradska oblast,Kropyvnytskyi raion,,raion,2022-03-22 06:37:49+00:00,2022-03-22 07:09:33+00:00
Chernihivska oblast,Nizhynskyi raion,,raion,2022-03-22 06:38:12+00:00,2022-03-22 07:11:57+00:00
Donetska oblast,Bakhmutskyi raion,Toretska terytorialna hromada,hromada,2022-03-22 06:49:54+00:00,2022-03-22 07:12:41+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-22 08:19:19+00:00,2022-03-22 08:47:15+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-22 08:19:19+00:00,2022-03-22 08:47:15+00:00
Kyiv City,,,oblast,2022-03-22 08:46:31+00:00,2022-03-22 09:56:31+00:00
Chernihivska oblast,,,oblast,2022-03-22 09:06:38+00:00,2022-03-22 12:52:47+00:00
Kyivska oblast,,,oblast,2022-03-22 09:06:50+00:00,2022-03-22 10:01:28+00:00
Donetska oblast,Kramatorskyi raion,m. Kramatorsk ta Kramatorska terytorialna hromada,hromada,2022-03-22 09:12:13+00:00,2022-03-22 09:36:47+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 09:13:01+00:00,2022-03-22 09:36:41+00:00
Kharkivska oblast,Iziumskyi raion,,raion,2022-03-22 09:41:07+00:00,2022-03-22 09:48:32+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-22 09:51:12+00:00,2022-03-22 11:42:39+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-22 10:03:39+00:00,2022-03-22 10:41:17+00:00
Kyiv City,,,oblast,2022-03-22 10:05:35+00:00,2022-03-22 12:30:27+00:00
Cherkaska oblast,Zvenyhorodskyi raion,m. Vatutine ta Vatutinska terytorialna hromada,hromada,2022-03-22 10:07:13+00:00,2022-03-22 12:32:11+00:00
Kyivska oblast,Obukhivskyi raion,Myronivska terytorialna hromada,hromada,2022-03-22 10:11:58+00:00,2022-03-22 12:35:59+00:00
Mykolaivska oblast,Mykolaivskyi raion,Pervomaiska terytorialna hromada,hromada,2022-03-22 10:20:21+00:00,2022-03-22 10:41:21+00:00
Chernihivska oblast,Chernihivskyi raion,,raion,2022-03-22 10:20:39+00:00,2022-03-22 12:52:29+00:00
Chernihivska oblast,Nizhynskyi raion,,raion,2022-03-22 10:20:45+00:00,2022-03-22 12:52:23+00:00
Mykolaivska oblast,Voznesenskyi raion,,raion,2022-03-22 10:20:49+00:00,2022-03-22 10:41:02+00:00
Mykolaivska oblast,Pervomaiskyi raion,,raion,2022-03-22 10:21:05+00:00,2022-03-22 10:41:12+00:00
Kharkivska oblast,,,oblast,2022-03-22 10:22:34+00:00,2022-03-22 10:27:17+00:00
Vinnytska oblast,,,oblast,2022-03-22 10:46:32+00:00,2022-03-22 12:01:59+00:00
Dnipropetrovska oblast,Dniprovskyi raion,Obukhivska terytorialna hromada,hromada,2022-03-22 10:50:57+00:00,2022-03-22 12:36:01+00:00
Kyivska oblast,Obukhivskyi raion,m. Obukhiv ta Obukhivska terytorialna hromada,hromada,2022-03-22 10:50:57+00:00,2022-03-22 12:36:01+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-22 10:51:03+00:00,2022-03-22 12:35:55+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-22 10:51:03+00:00,2022-03-22 12:35:55+00:00
Kyivska oblast,Bilotserkivskyi raion,m. Bila Tserkva ta Bilotserkivska terytorialna hromada,hromada,2022-03-22 10:51:09+00:00,2022-03-22 12:35:44+00:00
Poltavska oblast,Myrhorodskyi raion,Bilotserkivska terytorialna hromada,hromada,2022-03-22 10:51:09+00:00,2022-03-22 12:35:44+00:00
Zhytomyrska oblast,,,oblast,2022-03-22 10:53:09+00:00,2022-03-22 12:31:50+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-22 10:58:23+00:00,2022-03-22 12:25:56+00:00
Cherkaska oblast,Umanskyi raion,Zhashkivska terytorialna hromada,hromada,2022-03-22 11:09:03+00:00,2022-03-22 12:32:03+00:00
Cherkaska oblast,Umanskyi raion,Umanska terytorialna hromada,hromada,2022-03-22 11:10:06+00:00,2022-03-22 12:32:06+00:00
Odeska oblast,,,oblast,2022-03-22 11:17:01+00:00,2022-03-22 11:57:09+00:00
Kyivska oblast,Obukhivskyi raion,Ukrainska terytorialna hromada,hromada,2022-03-22 11:17:06+00:00,2022-03-22 12:36:05+00:00
Kyivska oblast,Fastivskyi raion,m. Fastiv ta Fastivska terytorialna hromada,hromada,2022-03-22 11:17:12+00:00,2022-03-22 12:36:11+00:00
Kyivska oblast,Boryspilskyi raion,m. Pereiaslav ta Pereiaslavska terytorialna hromada,hromada,2022-03-22 11:17:15+00:00,2022-03-22 12:36:15+00:00
Kyivska oblast,Bilotserkivskyi raion,Skvyrska terytorialna hromada,hromada,2022-03-22 11:17:50+00:00,2022-03-22 12:35:48+00:00
Volynska oblast,,,oblast,2022-03-22 11:20:38+00:00,2022-03-22 11:36:56+00:00
Khmelnytska oblast,,,oblast,2022-03-22 11:20:40+00:00,2022-03-22 11:42:33+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-22 11:21:07+00:00,2022-03-22 11:54:12+00:00
Rivnenska oblast,,,oblast,2022-03-22 11:21:20+00:00,2022-03-22 11:35:52+00:00
Lvivska oblast,,,oblast,2022-03-22 11:23:20+00:00,2022-03-22 11:35:32+00:00
Ternopilska oblast,,,oblast,2022-03-22 11:24:10+00:00,2022-03-22 11:39:19+00:00
Chernivetska oblast,,,oblast,2022-03-22 11:26:56+00:00,2022-03-22 11:56:09+00:00
Kharkivska oblast,Iziumskyi raion,,raion,2022-03-22 11:55:55+00:00,2022-03-22 12:31:03+00:00
Kharkivska oblast,,,oblast,2022-03-22 12:07:34+00:00,2022-03-22 12:31:51+00:00
Dnipropetrovska oblast,,,oblast,2022-03-22 12:36:48+00:00,2022-03-22 14:36:17+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-22 12:37:25+00:00,2022-03-22 14:36:35+00:00
Zaporizka oblast,,,oblast,2022-03-22 12:42:49+00:00,2022-03-22 14:32:17+00:00
Kharkivska oblast,,,oblast,2022-03-22 13:11:40+00:00,2022-03-22 14:36:12+00:00
Vinnytska oblast,,,oblast,2022-03-22 13:13:44+00:00,2022-03-22 14:34:01+00:00
Kyiv City,,,oblast,2022-03-22 13:15:16+00:00,2022-03-22 14:29:51+00:00
Zhytomyrska oblast,,,oblast,2022-03-22 13:15:42+00:00,2022-03-22 14:30:34+00:00
Cherkaska oblast,,,oblast,2022-03-22 13:15:46+00:00,2022-03-22 14:30:34+00:00
Khmelnytska oblast,,,oblast,2022-03-22 13:15:46+00:00,2022-03-22 14:30:41+00:00
Volynska oblast,,,oblast,2022-03-22 13:16:03+00:00,2022-03-22 14:30:29+00:00
Poltavska oblast,,,oblast,2022-03-22 13:16:20+00:00,2022-03-22 14:30:46+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-22 13:16:52+00:00,2022-03-22 14:30:40+00:00
Lvivska oblast,,,oblast,2022-03-22 13:17:15+00:00,2022-03-22 14:31:37+00:00
Odeska oblast,,,oblast,2022-03-22 13:17:28+00:00,2022-03-22 15:00:10+00:00
Kirovohradska oblast,,,oblast,2022-03-22 13:17:32+00:00,2022-03-22 14:31:20+00:00
Mykolaivska oblast,,,oblast,2022-03-22 13:17:40+00:00,2022-03-22 15:01:07+00:00
Rivnenska oblast,,,oblast,2022-03-22 13:18:16+00:00,2022-03-22 14:33:21+00:00
Chernivetska oblast,,,oblast,2022-03-22 13:18:28+00:00,2022-03-22 14:32:22+00:00
Zakarpatska oblast,,,oblast,2022-03-22 13:18:31+00:00,2022-03-22 14:32:00+00:00
Donetska oblast,,,oblast,2022-03-22 13:19:54+00:00,2022-03-22 17:11:27+00:00
Kyivska oblast,,,oblast,2022-03-22 13:20:31+00:00,2022-03-22 14:34:22+00:00
Chernihivska oblast,,,oblast,2022-03-22 13:20:36+00:00,2022-03-22 14:39:44+00:00
Ternopilska oblast,,,oblast,2022-03-22 13:21:24+00:00,2022-03-22 14:40:32+00:00
Sumska oblast,,,oblast,2022-03-22 13:22:48+00:00,2022-03-22 14:36:20+00:00
Kharkivska oblast,,,oblast,2022-03-22 15:01:51+00:00,2022-03-22 15:11:15+00:00
Vinnytska oblast,,,oblast,2022-03-22 15:30:38+00:00,2022-03-22 15:47:13+00:00
Kyiv City,,,oblast,2022-03-22 15:31:24+00:00,2022-03-22 17:46:51+00:00
Zhytomyrska oblast,,,oblast,2022-03-22 15:31:31+00:00,2022-03-22 17:47:43+00:00
Volynska oblast,,,oblast,2022-03-22 15:31:48+00:00,2022-03-22 17:47:51+00:00
Poltavska oblast,,,oblast,2022-03-22 15:31:49+00:00,2022-03-22 17:47:43+00:00
Khmelnytska oblast,,,oblast,2022-03-22 15:31:51+00:00,2022-03-22 17:47:33+00:00
Cherkaska oblast,,,oblast,2022-03-22 15:32:05+00:00,2022-03-22 17:48:10+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-22 15:32:24+00:00,2022-03-22 17:51:54+00:00
Zakarpatska oblast,,,oblast,2022-03-22 15:32:48+00:00,2022-03-22 17:48:52+00:00
Kirovohradska oblast,,,oblast,2022-03-22 15:32:49+00:00,2022-03-22 17:49:39+00:00
Mykolaivska oblast,,,oblast,2022-03-22 15:32:55+00:00,2022-03-22 17:49:32+00:00
Kharkivska oblast,,,oblast,2022-03-22 15:32:59+00:00,2022-03-22 17:45:05+00:00
Chernivetska oblast,,,oblast,2022-03-22 15:33:04+00:00,2022-03-22 17:49:00+00:00
Dnipropetrovska oblast,,,oblast,2022-03-22 15:33:21+00:00,2022-03-22 17:45:29+00:00
Rivnenska oblast,,,oblast,2022-03-22 15:33:45+00:00,2022-03-22 17:48:41+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-22 15:33:57+00:00,2022-03-22 17:45:54+00:00
Zaporizka oblast,,,oblast,2022-03-22 15:34:34+00:00,2022-03-22 16:38:22+00:00
Odeska oblast,,,oblast,2022-03-22 15:34:54+00:00,2022-03-22 17:48:29+00:00
Ternopilska oblast,,,oblast,2022-03-22 15:35:42+00:00,2022-03-22 17:55:13+00:00
Kyivska oblast,,,oblast,2022-03-22 15:36:12+00:00,2022-03-22 17:52:25+00:00
Sumska oblast,,,oblast,2022-03-22 15:41:20+00:00,2022-03-22 17:54:56+00:00
Lvivska oblast,,,oblast,2022-03-22 15:42:47+00:00,2022-03-22 17:49:59+00:00
Chernihivska oblast,,,oblast,2022-03-22 15:44:29+00:00,2022-03-22 17:08:09+00:00
Vinnytska oblast,,,oblast,2022-03-22 16:48:51+00:00,2022-03-22 17:42:53+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 17:26:45+00:00,2022-03-22 17:52:24+00:00
Kharkivska oblast,,,oblast,2022-03-22 18:15:13+00:00,2022-03-22 18:22:25+00:00
Rivnenska oblast,,,oblast,2022-03-22 18:20:55+00:00,2022-03-22 18:56:29+00:00
Volynska oblast,,,oblast,2022-03-22 18:21:03+00:00,2022-03-22 18:57:54+00:00
Ternopilska oblast,,,oblast,2022-03-22 18:23:11+00:00,2022-03-22 19:01:58+00:00
Vinnytska oblast,,,oblast,2022-03-22 18:25:59+00:00,2022-03-22 19:06:53+00:00
Kyiv City,,,oblast,2022-03-22 18:27:07+00:00,2022-03-22 19:07:19+00:00
Poltavska oblast,,,oblast,2022-03-22 18:28:19+00:00,2022-03-22 19:08:08+00:00
Khmelnytska oblast,,,oblast,2022-03-22 18:28:19+00:00,2022-03-22 19:08:09+00:00
Zhytomyrska oblast,,,oblast,2022-03-22 18:28:19+00:00,2022-03-22 19:08:10+00:00
Cherkaska oblast,,,oblast,2022-03-22 18:29:22+00:00,2022-03-22 19:08:40+00:00
Chernivetska oblast,,,oblast,2022-03-22 18:29:49+00:00,2022-03-22 19:09:06+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-22 18:29:52+00:00,2022-03-22 19:09:37+00:00
Kirovohradska oblast,,,oblast,2022-03-22 18:29:57+00:00,2022-03-22 19:09:02+00:00
Kharkivska oblast,,,oblast,2022-03-22 18:30:14+00:00,2022-03-22 19:09:23+00:00
Lvivska oblast,,,oblast,2022-03-22 18:30:33+00:00,2022-03-22 19:11:06+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-22 18:30:34+00:00,2022-03-22 19:10:39+00:00
Mykolaivska oblast,,,oblast,2022-03-22 18:30:40+00:00,2022-03-22 19:10:02+00:00
Dnipropetrovska oblast,,,oblast,2022-03-22 18:30:55+00:00,2022-03-22 19:10:11+00:00
Zakarpatska oblast,,,oblast,2022-03-22 18:31:11+00:00,2022-03-22 19:11:03+00:00
Odeska oblast,,,oblast,2022-03-22 18:31:14+00:00,2022-03-22 19:14:15+00:00
Zaporizka oblast,,,oblast,2022-03-22 18:32:21+00:00,2022-03-22 19:10:05+00:00
Kyivska oblast,,,oblast,2022-03-22 18:33:35+00:00,2022-03-22 19:11:33+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-22 18:35:17+00:00,2022-03-22 19:48:28+00:00
Sumska oblast,,,oblast,2022-03-22 18:35:18+00:00,2022-03-22 19:15:23+00:00
Zaporizka oblast,,,oblast,2022-03-22 20:55:25+00:00,2022-03-22 21:45:59+00:00
