oblast,raion,hromada,level,started_at,finished_at
Khmelnytska oblast,,,oblast,2022-03-15 23:57:21+00:00,2022-03-16 03:28:28+00:00
Kharkivska oblast,Iziumskyi raion,,raion,2022-03-16 00:07:30+00:00,2022-03-16 04:23:05+00:00
Poltavska oblast,Kremenchutskyi raion,m. Kremenchuk ta Kremenchutska terytorialna hromada,hromada,2022-03-16 00:12:33+00:00,2022-03-16 04:44:12+00:00
Dnipropetrovska oblast,Nikopolskyi raion,m. Nikopol ta Nikopolska terytorialna hromada,hromada,2022-03-16 00:16:24+00:00,2022-03-16 04:22:23+00:00
Mykolaivska oblast,Mykolaivskyi raion,m. Mykolaiv ta Mykolaivska terytorialna hromada,hromada,2022-03-16 00:17:27+00:00,2022-03-16 04:44:57+00:00
Cherkaska oblast,,,oblast,2022-03-16 00:50:06+00:00,2022-03-16 04:42:26+00:00
Dnipropetrovska oblast,,,oblast,2022-03-16 00:50:45+00:00,2022-03-16 04:17:20+00:00
Lvivska oblast,,,oblast,2022-03-16 00:50:53+00:00,2022-03-16 03:24:08+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-16 00:51:58+00:00,2022-03-16 04:18:10+00:00
Kyivska oblast,,,oblast,2022-03-16 00:52:01+00:00,2022-03-16 05:34:58+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-16 00:53:19+00:00,2022-03-16 03:27:16+00:00
Odeska oblast,,,oblast,2022-03-16 00:55:03+00:00,2022-03-16 02:35:50+00:00
Vinnytska oblast,,,oblast,2022-03-16 00:57:14+00:00,2022-03-16 03:21:06+00:00
Kirovohradska oblast,,,oblast,2022-03-16 00:57:18+00:00,2022-03-16 04:41:57+00:00
Poltavska oblast,Poltavskyi raion,m. Poltava ta Poltavska terytorialna hromada,hromada,2022-03-16 00:59:08+00:00,2022-03-16 04:22:49+00:00
Odeska oblast,Odeskyi raion,,raion,2022-03-16 03:41:19+00:00,2022-03-16 04:17:23+00:00
Mykolaivska oblast,Voznesenskyi raion,m. Voznesensk ta Voznesenska terytorialna hromada,hromada,2022-03-16 03:42:02+00:00,2022-03-16 04:44:49+00:00
Cherkaska oblast,Zolotoniskyi raion,Voznesenska terytorialna hromada,hromada,2022-03-16 03:42:02+00:00,2022-03-16 04:44:49+00:00
Kyiv City,,,oblast,2022-03-16 04:12:47+00:00,2022-03-16 04:54:31+00:00
Kyiv City,,,oblast,2022-03-16 05:31:53+00:00,2022-03-16 06:26:41+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-16 05:35:18+00:00,2022-03-16 06:30:47+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-16 05:35:18+00:00,2022-03-16 06:30:47+00:00
Zhytomyrska oblast,,,oblast,2022-03-16 05:36:21+00:00,2022-03-16 06:27:24+00:00
Chernihivska oblast,,,oblast,2022-03-16 06:08:41+00:00,2022-03-18 04:45:11+00:00
Kyiv City,,,oblast,2022-03-16 07:09:47+00:00,2022-03-16 10:44:19+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-16 07:11:56+00:00,2022-03-16 10:50:25+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-16 07:11:56+00:00,2022-03-16 10:50:25+00:00
Kharkivska oblast,Kharkivskyi raion,,raion,2022-03-16 07:39:48+00:00,2022-03-16 07:48:30+00:00
Kharkivska oblast,,,oblast,2022-03-16 07:39:56+00:00,2022-03-16 07:48:36+00:00
Vinnytska oblast,,,oblast,2022-03-16 07:51:35+00:00,2022-03-16 09:04:12+00:00
Zhytomyrska oblast,,,oblast,2022-03-16 07:53:10+00:00,2022-03-16 10:44:46+00:00
Kyivska oblast,,,oblast,2022-03-16 07:54:12+00:00,2022-03-16 10:50:14+00:00
Sumska oblast,Shostkynskyi raion,m. Shostka ta Shostkynska terytorialna hromada,hromada,2022-03-16 08:10:25+00:00,2022-03-16 13:16:34+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-16 08:46:53+00:00,2022-03-16 09:25:03+00:00
Khmelnytska oblast,Shepetivskyi raion,,raion,2022-03-16 08:47:16+00:00,2022-03-16 09:24:55+00:00
Odeska oblast,Odeskyi raion,,raion,2022-03-16 09:40:01+00:00,2022-03-16 10:22:12+00:00
Odeska oblast,,,oblast,2022-03-16 09:40:57+00:00,2022-03-16 10:21:29+00:00
Odeska oblast,Podilskyi raion,,raion,2022-03-16 09:42:09+00:00,2022-03-16 10:21:44+00:00
Odeska oblast,Berezivskyi raion,,raion,2022-03-16 09:42:15+00:00,2022-03-16 10:21:53+00:00
Odeska oblast,Izmailskyi raion,,raion,2022-03-16 09:42:20+00:00,2022-03-16 10:21:58+00:00
Odeska oblast,Bilhorod-Dnistrovskyi raion,,raion,2022-03-16 09:42:24+00:00,2022-03-16 10:22:01+00:00
Chernivetska oblast,Dnistrovskyi raion,,raion,2022-03-16 09:42:24+00:00,2022-03-16 10:22:01+00:00
Odeska oblast,Rozdilnianskyi raion,,raion,2022-03-16 09:42:39+00:00,2022-03-16 10:22:05+00:00
Odeska oblast,Bolhradskyi raion,,raion,2022-03-16 09:42:42+00:00,2022-03-16 10:22:17+00:00
Cherkaska oblast,Umanskyi raion,Umanska terytorialna hromada,hromada,2022-03-16 09:47:38+00:00,2022-03-16 10:45:18+00:00
Kirovohradska oblast,Kropyvnytskyi raion,,raion,2022-03-16 09:54:13+00:00,2022-03-16 10:50:51+00:00
