region,started_at,finished_at,naive
Тернопільська область,2022-02-26 21:24:23+00:00,2022-02-27 00:06:31+00:00,False
Київ,2022-02-26 21:25:41+00:00,2022-02-26 21:55:41+00:00,True
Київ,2022-02-26 22:04:38+00:00,2022-02-26 22:34:38+00:00,True
Одеська область,2022-02-27 04:52:22+00:00,2022-02-27 05:22:22+00:00,True
Запорізька область,2022-02-27 04:56:06+00:00,2022-02-27 05:26:06+00:00,True
Волинська область,2022-02-27 04:57:01+00:00,2022-02-27 05:25:49+00:00,False
Запорізька область,2022-02-27 05:53:59+00:00,2022-02-27 07:35:49+00:00,False
Київ,2022-02-27 06:08:38+00:00,2022-02-27 06:38:38+00:00,True
Рівненська область,2022-02-27 06:09:41+00:00,2022-02-27 06:32:58+00:00,False
Волинська область,2022-02-27 06:12:50+00:00,2022-02-27 07:22:34+00:00,False
Тернопільська область,2022-02-27 06:16:55+00:00,2022-02-27 07:12:31+00:00,False
Київська область,2022-02-27 06:21:39+00:00,2022-02-27 06:51:39+00:00,True
Рівненська область,2022-02-27 06:40:20+00:00,2022-02-27 07:15:50+00:00,False
Вінницька область,2022-02-27 06:55:57+00:00,2022-02-27 07:25:57+00:00,True
Сумська область,2022-02-27 08:38:20+00:00,2022-02-27 09:08:20+00:00,True
Вінницька область,2022-02-27 08:48:03+00:00,2022-02-27 09:07:09+00:00,False
Сумська область,2022-02-27 09:45:59+00:00,2022-02-27 10:15:59+00:00,True
Київська область,2022-02-27 10:22:09+00:00,2022-02-27 10:52:09+00:00,True
Миколаївська область,2022-02-27 10:47:17+00:00,2022-02-27 11:17:17+00:00,True
Вінницька область,2022-02-27 10:48:57+00:00,2022-02-27 11:40:29+00:00,False
Рівненська область,2022-02-27 11:01:40+00:00,2022-02-27 11:23:26+00:00,False
Волинська область,2022-02-27 11:10:48+00:00,2022-02-27 11:29:43+00:00,False
Тернопільська область,2022-02-27 11:11:18+00:00,2022-02-27 12:07:42+00:00,False
Харківська область,2022-02-27 11:14:57+00:00,2022-02-27 11:44:57+00:00,True
Херсонська область,2022-02-27 11:39:29+00:00,2022-02-27 12:09:29+00:00,True
Чернігівська область,2022-02-27 11:59:10+00:00,2022-02-27 12:29:10+00:00,True
Запорізька область,2022-02-27 12:27:40+00:00,2022-02-27 13:02:58+00:00,False
Харківська область,2022-02-27 12:29:15+00:00,2022-02-27 12:59:15+00:00,True
Вінницька область,2022-02-27 12:38:01+00:00,2022-02-27 12:54:57+00:00,False
Миколаївська область,2022-02-27 12:43:46+00:00,2022-02-27 13:13:46+00:00,True
Донецька область,2022-02-27 12:49:52+00:00,2022-02-27 18:39:28+00:00,False
Дніпропетровська область,2022-02-27 12:59:18+00:00,2022-02-27 13:29:18+00:00,True
Чернігівська область,2022-02-27 13:07:50+00:00,2022-02-27 13:37:50+00:00,True
Черкаська область,2022-02-27 13:26:21+00:00,2022-02-27 13:56:21+00:00,True
Дніпропетровська область,2022-02-27 13:34:45+00:00,2022-02-27 13:40:20+00:00,False
Миколаївська область,2022-02-27 13:47:48+00:00,2022-02-27 14:17:48+00:00,True
Харківська область,2022-02-27 13:59:22+00:00,2022-02-27 14:29:22+00:00,True
Вінницька область,2022-02-27 14:00:22+00:00,2022-02-27 14:38:12+00:00,False
Одеська область,2022-02-27 14:05:48+00:00,2022-02-27 14:35:48+00:00,True
Чернігівська область,2022-02-27 14:13:48+00:00,2022-02-27 14:43:48+00:00,True
Миколаївська область,2022-02-27 14:59:32+00:00,2022-02-27 15:29:32+00:00,True
Житомирська область,2022-02-27 15:16:10+00:00,2022-02-27 16:00:47+00:00,False
Харківська область,2022-02-27 15:17:31+00:00,2022-02-27 15:47:31+00:00,True
Вінницька область,2022-02-27 15:17:58+00:00,2022-02-27 15:40:38+00:00,False
Рівненська область,2022-02-27 15:18:19+00:00,2022-02-27 15:30:24+00:00,False
Чернігівська область,2022-02-27 15:19:24+00:00,2022-02-27 15:49:24+00:00,True
Волинська область,2022-02-27 15:21:22+00:00,2022-02-27 15:36:34+00:00,False
Рівненська область,2022-02-27 15:43:27+00:00,2022-02-27 16:06:05+00:00,False
Харківська область,2022-02-27 15:51:22+00:00,2022-02-27 16:21:22+00:00,True
Тернопільська область,2022-02-27 15:51:46+00:00,2022-02-27 17:08:27+00:00,False
Волинська область,2022-02-27 15:52:22+00:00,2022-02-27 16:11:37+00:00,False
Сумська область,2022-02-27 15:53:06+00:00,2022-02-27 16:23:06+00:00,True
Хмельницька область,2022-02-27 15:54:46+00:00,2022-02-27 16:13:06+00:00,False
Дніпропетровська область,2022-02-27 16:16:31+00:00,2022-02-27 16:20:28+00:00,False
Чернігівська область,2022-02-27 16:21:27+00:00,2022-02-27 16:51:27+00:00,True
Київ,2022-02-27 16:21:54+00:00,2022-02-27 16:51:54+00:00,True
Харківська область,2022-02-27 16:22:11+00:00,2022-02-27 16:52:11+00:00,True
Одеська область,2022-02-27 16:47:52+00:00,2022-02-27 17:14:38+00:00,False
Чернігівська область,2022-02-27 16:52:57+00:00,2022-02-27 17:22:57+00:00,True
Житомирська область,2022-02-27 16:59:21+00:00,2022-02-27 17:22:07+00:00,False
Миколаївська область,2022-02-27 17:06:05+00:00,2022-02-27 17:36:05+00:00,True
Черкаська область,2022-02-27 17:10:51+00:00,2022-02-27 17:40:51+00:00,True
Київ,2022-02-27 17:11:46+00:00,2022-02-27 17:41:46+00:00,True
Київська область,2022-02-27 17:12:45+00:00,2022-02-27 17:42:45+00:00,True
Рівненська область,2022-02-27 17:15:38+00:00,2022-02-27 17:43:34+00:00,False
Волинська область,2022-02-27 17:21:33+00:00,2022-02-27 17:53:04+00:00,False
Тернопільська область,2022-02-27 17:26:27+00:00,2022-02-27 18:23:14+00:00,False
Івано-Франківська область,2022-02-27 17:28:20+00:00,2022-02-27 17:58:20+00:00,True
Житомирська область,2022-02-27 17:32:58+00:00,2022-02-27 17:44:35+00:00,False
Львівська область,2022-02-27 17:34:38+00:00,2022-02-27 17:52:49+00:00,False
Дніпропетровська область,2022-02-27 17:41:46+00:00,2022-02-27 18:27:24+00:00,False
Черкаська область,2022-02-27 17:42:41+00:00,2022-02-27 18:11:17+00:00,False
Хмельницька область,2022-02-27 17:43:45+00:00,2022-02-27 18:37:20+00:00,False
Харківська область,2022-02-27 17:43:51+00:00,2022-02-27 18:13:51+00:00,True
Запорізька область,2022-02-27 17:45:00+00:00,2022-02-27 18:44:39+00:00,False
Полтавська область,2022-02-27 17:47:38+00:00,2022-02-27 18:23:42+00:00,False
Чернігівська область,2022-02-27 17:49:34+00:00,2022-02-27 18:19:34+00:00,True
Кіровоградська область,2022-02-27 17:56:20+00:00,2022-02-27 18:05:12+00:00,False
Вінницька область,2022-02-27 17:56:35+00:00,2022-02-27 18:34:05+00:00,False
Київ,2022-02-27 18:03:04+00:00,2022-02-27 18:33:04+00:00,True
Черкаська область,2022-02-27 18:12:45+00:00,2022-02-27 20:03:39+00:00,False
Чернігівська область,2022-02-27 18:35:13+00:00,2022-02-27 19:05:13+00:00,True
Херсонська область,2022-02-27 18:35:42+00:00,2022-02-27 19:05:42+00:00,True
Київ,2022-02-27 18:49:08+00:00,2022-02-27 19:35:15+00:00,False
Запорізька область,2022-02-27 19:14:00+00:00,2022-02-27 22:28:24+00:00,False
Сумська область,2022-02-27 19:22:50+00:00,2022-02-27 19:52:50+00:00,True
Дніпропетровська область,2022-02-27 19:31:34+00:00,2022-02-27 20:04:33+00:00,False
Полтавська область,2022-02-27 19:57:00+00:00,2022-02-27 20:27:00+00:00,True
Вінницька область,2022-02-27 20:50:04+00:00,2022-02-27 21:08:44+00:00,False
Житомирська область,2022-02-27 20:50:37+00:00,2022-02-27 21:20:37+00:00,True
Черкаська область,2022-02-27 21:23:46+00:00,2022-02-27 21:53:46+00:00,True
Чернівецька область,2022-02-27 21:25:55+00:00,2022-02-27 21:55:55+00:00,True
Житомирська область,2022-02-27 21:31:37+00:00,2022-02-27 22:27:30+00:00,False
